Title_ind_group,Title_subsector
"Sporting Goods, Hobby, and Musical Instrument Retailers ","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
Book Retailers and News Dealers ,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
Florists ,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
"Office Supplies, Stationery, and Gift Retailers ","Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
Used Merchandise Retailers ,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
Other Miscellaneous Retailers ,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers "
Scheduled Air Transportation,Air Transportation
Nonscheduled Air Transportation,Air Transportation
Rail Transportation,Rail Transportation
"Deep Sea, Coastal, and Great Lakes Water Transportation",Water Transportation
Inland Water Transportation,Water Transportation
General Freight Trucking,Truck Transportation
Specialized Freight Trucking,Truck Transportation
Urban Transit Systems,Transit and Ground Passenger Transportation
Interurban and Rural Bus Transportation,Transit and Ground Passenger Transportation
Taxi and Limousine Service,Transit and Ground Passenger Transportation
School and Employee Bus Transportation,Transit and Ground Passenger Transportation
Charter Bus Industry,Transit and Ground Passenger Transportation
Other Transit and Ground Passenger Transportation,Transit and Ground Passenger Transportation
Pipeline Transportation of Crude Oil,Pipeline Transportation
Pipeline Transportation of Natural Gas,Pipeline Transportation
Other Pipeline Transportation,Pipeline Transportation
"Scenic and Sightseeing Transportation, Land",Scenic and Sightseeing Transportation
"Scenic and Sightseeing Transportation, Water",Scenic and Sightseeing Transportation
"Scenic and Sightseeing Transportation, Other",Scenic and Sightseeing Transportation
Support Activities for Air Transportation,Support Activities for Transportation
Support Activities for Rail Transportation,Support Activities for Transportation
Support Activities for Water Transportation,Support Activities for Transportation
Support Activities for Road Transportation,Support Activities for Transportation
Freight Transportation Arrangement,Support Activities for Transportation
Other Support Activities for Transportation,Support Activities for Transportation
Postal Service,Postal Service
Couriers and Express Delivery Services,Couriers and Messengers
Local Messengers and Local Delivery,Couriers and Messengers
Warehousing and Storage,Warehousing and Storage
Motion Picture and Video Industries,Motion Picture and Sound Recording Industries
Sound Recording Industries,Motion Picture and Sound Recording Industries
"Newspaper, Periodical, Book, and Directory Publishers",Publishing Industries
Software Publishers,Publishing Industries
Radio and Television Broadcasting Stations,Broadcasting and Content Providers
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Broadcasting and Content Providers
Wired and Wireless Telecommunications (except Satellite),Telecommunications
Satellite Telecommunications,Telecommunications
All Other Telecommunications,Telecommunications
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
"Web Search Portals, Libraries, Archives, and Other Information Services","Web Search Portals, Libraries, Archives, and Other Information Services"
Monetary Authorities-Central Bank,Monetary Authorities-Central Bank
Depository Credit Intermediation ,Credit Intermediation and Related Activities
Nondepository Credit Intermediation ,Credit Intermediation and Related Activities
Activities Related to Credit Intermediation ,Credit Intermediation and Related Activities
Securities and Commodity Contracts Intermediation and Brokerage,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
Securities and Commodity Exchanges,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
Other Financial Investment Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
Insurance Carriers,Insurance Carriers and Related Activities
"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Carriers and Related Activities
Insurance and Employee Benefit Funds ,"Funds, Trusts, and Other Financial Vehicles "
Other Investment Pools and Funds,"Funds, Trusts, and Other Financial Vehicles "
Lessors of Real Estate,Real Estate
Offices of Real Estate Agents and Brokers,Real Estate
Activities Related to Real Estate,Real Estate
Automotive Equipment Rental and Leasing,Rental and Leasing Services
Consumer Goods Rental,Rental and Leasing Services
General Rental Centers,Rental and Leasing Services
Commercial and Industrial Machinery and Equipment Rental and Leasing,Rental and Leasing Services
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
Legal Services,"Professional, Scientific, and Technical Services"
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services","Professional, Scientific, and Technical Services"
"Architectural, Engineering, and Related Services","Professional, Scientific, and Technical Services"
Specialized Design Services,"Professional, Scientific, and Technical Services"
Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services"
"Management, Scientific, and Technical Consulting Services","Professional, Scientific, and Technical Services"
Scientific Research and Development Services,"Professional, Scientific, and Technical Services"
"Advertising, Public Relations, and Related Services","Professional, Scientific, and Technical Services"
"Other Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services"
Management of Companies and Enterprises,Management of Companies and Enterprises
Office Administrative Services,Administrative and Support Services
Facilities Support Services,Administrative and Support Services
Employment Services,Administrative and Support Services
Business Support Services,Administrative and Support Services
Travel Arrangement and Reservation Services,Administrative and Support Services
Investigation and Security Services,Administrative and Support Services
Services to Buildings and Dwellings,Administrative and Support Services
Other Support Services,Administrative and Support Services
Waste Collection ,Waste Management and Remediation Services
Waste Treatment and Disposal ,Waste Management and Remediation Services
Remediation and Other Waste Management Services ,Waste Management and Remediation Services
Elementary and Secondary Schools,Educational Services
Junior Colleges,Educational Services
"Colleges, Universities, and Professional Schools",Educational Services
Business Schools and Computer and Management Training,Educational Services
Technical and Trade Schools ,Educational Services
Other Schools and Instruction,Educational Services
Educational Support Services,Educational Services
Offices of Physicians,Ambulatory Health Care Services
Offices of Dentists,Ambulatory Health Care Services
Offices of Other Health Practitioners,Ambulatory Health Care Services
Outpatient Care Centers,Ambulatory Health Care Services
Medical and Diagnostic Laboratories,Ambulatory Health Care Services
Home Health Care Services,Ambulatory Health Care Services
Other Ambulatory Health Care Services,Ambulatory Health Care Services
General Medical and Surgical Hospitals,Hospitals
Psychiatric and Substance Abuse Hospitals,Hospitals
Specialty (except Psychiatric and Substance Abuse) Hospitals,Hospitals
Nursing Care Facilities (Skilled Nursing Facilities),Nursing and Residential Care Facilities
"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",Nursing and Residential Care Facilities
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,Nursing and Residential Care Facilities
Other Residential Care Facilities,Nursing and Residential Care Facilities
Individual and Family Services,Social Assistance
"Community Food and Housing, and Emergency and Other Relief Services",Social Assistance
Vocational Rehabilitation Services,Social Assistance
Child Care Services,Social Assistance
Performing Arts Companies,"Performing Arts, Spectator Sports, and Related Industries"
Spectator Sports,"Performing Arts, Spectator Sports, and Related Industries"
"Promoters of Performing Arts, Sports, and Similar Events","Performing Arts, Spectator Sports, and Related Industries"
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","Performing Arts, Spectator Sports, and Related Industries"
"Independent Artists, Writers, and Performers","Performing Arts, Spectator Sports, and Related Industries"
"Museums, Historical Sites, and Similar Institutions","Museums, Historical Sites, and Similar Institutions"
Amusement Parks and Arcades,"Amusement, Gambling, and Recreation Industries"
Gambling Industries,"Amusement, Gambling, and Recreation Industries"
Other Amusement and Recreation Industries,"Amusement, Gambling, and Recreation Industries"
Traveler Accommodation,Accommodation
RV (Recreational Vehicle) Parks and Recreational Camps,Accommodation
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",Accommodation
Special Food Services,Food Services and Drinking Places
Drinking Places (Alcoholic Beverages),Food Services and Drinking Places
Restaurants and Other Eating Places,Food Services and Drinking Places
Automotive Repair and Maintenance,Repair and Maintenance
Electronic and Precision Equipment Repair and Maintenance,Repair and Maintenance
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Repair and Maintenance
Personal and Household Goods Repair and Maintenance,Repair and Maintenance
Personal Care Services ,Personal and Laundry Services
Death Care Services ,Personal and Laundry Services
Drycleaning and Laundry Services ,Personal and Laundry Services
Other Personal Services ,Personal and Laundry Services
Religious Organizations ,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Grantmaking and Giving Services ,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Social Advocacy Organizations ,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Civic and Social Organizations ,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
"Business, Professional, Labor, Political, and Similar Organizations ","Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Private Households,Private Households
"Executive, Legislative, and Other General Government Support ","Executive, Legislative, and Other General Government Support "
"Justice, Public Order, and Safety Activities ","Justice, Public Order, and Safety Activities "
Administration of Human Resource Programs ,Administration of Human Resource Programs 
Administration of Environmental Quality Programs ,Administration of Environmental Quality Programs 
"Administration of Housing Programs, Urban Planning, and Community Development ","Administration of Housing Programs, Urban Planning, and Community Development "
Administration of Economic Programs ,Administration of Economic Programs 
Space Research and Technology ,Space Research and Technology 
National Security and International Affairs ,National Security and International Affairs 
