name,parent,concept_name,source,standard_semantic_hierarchy
"Social Scientists and Related Workers, All Other",Miscellaneous Social Scientists and Related Workers,Detailed Occupation,2018 SOC,Yes
Agricultural Technicians,Agricultural and Food Science Technicians,Detailed Occupation,2018 SOC,Yes
Food Science Technicians,Agricultural and Food Science Technicians,Detailed Occupation,2018 SOC,Yes
Biological Technicians,Biological Technicians,Detailed Occupation,2018 SOC,Yes
Chemical Technicians,Chemical Technicians,Detailed Occupation,2018 SOC,Yes
"Environmental Science and Protection Technicians, Including Health",Environmental Science and Geoscience Technicians,Detailed Occupation,2018 SOC,Yes
"Geological Technicians, Except Hydrologic Technicians",Environmental Science and Geoscience Technicians,Detailed Occupation,2018 SOC,Yes
Hydrologic Technicians,Environmental Science and Geoscience Technicians,Detailed Occupation,2018 SOC,Yes
Nuclear Technicians,Nuclear Technicians,Detailed Occupation,2018 SOC,Yes
Social Science Research Assistants,Social Science Research Assistants,Detailed Occupation,2018 SOC,Yes
Forest and Conservation Technicians,Forest and Conservation Technicians,Detailed Occupation,2018 SOC,Yes
Forensic Science Technicians,"Miscellaneous Life, Physical, and Social Science Technicians",Detailed Occupation,2018 SOC,Yes
"Life, Physical, and Social Science Technicians, All Other","Miscellaneous Life, Physical, and Social Science Technicians",Detailed Occupation,2018 SOC,Yes
Occupational Health and Safety Specialists,Occupational Health and Safety Specialists and Technicians,Detailed Occupation,2018 SOC,Yes
Occupational Health and Safety Technicians,Occupational Health and Safety Specialists and Technicians,Detailed Occupation,2018 SOC,Yes
Substance Abuse and Behavioral Disorder Counselors,Counselors,Detailed Occupation,2018 SOC,Yes
"Educational, Guidance, and Career Counselors and Advisors",Counselors,Detailed Occupation,2018 SOC,Yes
Marriage and Family Therapists,Counselors,Detailed Occupation,2018 SOC,Yes
Mental Health Counselors,Counselors,Detailed Occupation,2018 SOC,Yes
Rehabilitation Counselors,Counselors,Detailed Occupation,2018 SOC,Yes
"Counselors, All Other",Counselors,Detailed Occupation,2018 SOC,Yes
"Child, Family, and School Social Workers",Social Workers,Detailed Occupation,2018 SOC,Yes
Healthcare Social Workers,Social Workers,Detailed Occupation,2018 SOC,Yes
Mental Health and Substance Abuse Social Workers,Social Workers,Detailed Occupation,2018 SOC,Yes
"Social Workers, All Other",Social Workers,Detailed Occupation,2018 SOC,Yes
Health Education Specialists,Miscellaneous Community and Social Service Specialists,Detailed Occupation,2018 SOC,Yes
Probation Officers and Correctional Treatment Specialists,Miscellaneous Community and Social Service Specialists,Detailed Occupation,2018 SOC,Yes
Social and Human Service Assistants,Miscellaneous Community and Social Service Specialists,Detailed Occupation,2018 SOC,Yes
Community Health Workers,Miscellaneous Community and Social Service Specialists,Detailed Occupation,2018 SOC,Yes
"Community and Social Service Specialists, All Other",Miscellaneous Community and Social Service Specialists,Detailed Occupation,2018 SOC,Yes
Clergy,Clergy,Detailed Occupation,2018 SOC,Yes
"Directors, Religious Activities and Education","Directors, Religious Activities and Education",Detailed Occupation,2018 SOC,Yes
"Religious Workers, All Other",Miscellaneous Religious Workers,Detailed Occupation,2018 SOC,Yes
Lawyers,Lawyers and Judicial Law Clerks,Detailed Occupation,2018 SOC,Yes
Judicial Law Clerks,Lawyers and Judicial Law Clerks,Detailed Occupation,2018 SOC,Yes
"Administrative Law Judges, Adjudicators, and Hearing Officers","Judges, Magistrates, and Other Judicial Workers",Detailed Occupation,2018 SOC,Yes
"Arbitrators, Mediators, and Conciliators","Judges, Magistrates, and Other Judicial Workers",Detailed Occupation,2018 SOC,Yes
"Judges, Magistrate Judges, and Magistrates","Judges, Magistrates, and Other Judicial Workers",Detailed Occupation,2018 SOC,Yes
Paralegals and Legal Assistants,Paralegals and Legal Assistants,Detailed Occupation,2018 SOC,Yes
"Title Examiners, Abstractors, and Searchers",Miscellaneous Legal Support Workers,Detailed Occupation,2018 SOC,Yes
"Legal Support Workers, All Other",Miscellaneous Legal Support Workers,Detailed Occupation,2018 SOC,Yes
"Business Teachers, Postsecondary","Business Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Computer Science Teachers, Postsecondary","Math and Computer Science Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Mathematical Science Teachers, Postsecondary","Math and Computer Science Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Architecture Teachers, Postsecondary","Engineering and Architecture Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Engineering Teachers, Postsecondary","Engineering and Architecture Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Agricultural Sciences Teachers, Postsecondary","Life Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Biological Science Teachers, Postsecondary","Life Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Forestry and Conservation Science Teachers, Postsecondary","Life Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Chemistry Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Environmental Science Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Physics Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Anthropology and Archeology Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Economics Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Geography Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Political Science Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Psychology Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Sociology Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Health Specialties Teachers, Postsecondary","Health Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Nursing Instructors and Teachers, Postsecondary","Health Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Education Teachers, Postsecondary","Education and Library Science Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Library Science Teachers, Postsecondary","Education and Library Science Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Law Teachers, Postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Social Work Teachers, Postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Art, Drama, and Music Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Communications Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"English Language and Literature Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Foreign Language and Literature Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"History Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Philosophy and Religion Teachers, Postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Detailed Occupation,2018 SOC,Yes
"Family and Consumer Sciences Teachers, Postsecondary",Miscellaneous Postsecondary Teachers,Detailed Occupation,2018 SOC,Yes
"Recreation and Fitness Studies Teachers, Postsecondary",Miscellaneous Postsecondary Teachers,Detailed Occupation,2018 SOC,Yes
"Career/Technical Education Teachers, Postsecondary",Miscellaneous Postsecondary Teachers,Detailed Occupation,2018 SOC,Yes
"Postsecondary Teachers, All Other",Miscellaneous Postsecondary Teachers,Detailed Occupation,2018 SOC,Yes
"Preschool Teachers, Except Special Education",Preschool and Kindergarten Teachers,Detailed Occupation,2018 SOC,Yes
"Kindergarten Teachers, Except Special Education",Preschool and Kindergarten Teachers,Detailed Occupation,2018 SOC,Yes
"Elementary School Teachers, Except Special Education",Elementary and Middle School Teachers,Detailed Occupation,2018 SOC,Yes
"Middle School Teachers, Except Special and Career/Technical Education",Elementary and Middle School Teachers,Detailed Occupation,2018 SOC,Yes
"Career/Technical Education Teachers, Middle School",Elementary and Middle School Teachers,Detailed Occupation,2018 SOC,Yes
"Secondary School Teachers, Except Special and Career/Technical Education",Secondary School Teachers,Detailed Occupation,2018 SOC,Yes
"Career/Technical Education Teachers, Secondary School",Secondary School Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, Preschool",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, Kindergarten",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, Elementary School",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, Middle School",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, Secondary School",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Special Education Teachers, All Other",Special Education Teachers,Detailed Occupation,2018 SOC,Yes
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Detailed Occupation,2018 SOC,Yes
Self-Enrichment Teachers,Self-Enrichment Teachers,Detailed Occupation,2018 SOC,Yes
"Substitute Teachers, Short-Term","Substitute Teachers, Short-Term",Detailed Occupation,2018 SOC,Yes
Tutors,Tutors,Detailed Occupation,2018 SOC,Yes
"Teachers and Instructors, All Other",Miscellaneous Teachers and Instructors,Detailed Occupation,2018 SOC,Yes
Archivists,"Archivists, Curators, and Museum Technicians",Detailed Occupation,2018 SOC,Yes
Curators,"Archivists, Curators, and Museum Technicians",Detailed Occupation,2018 SOC,Yes
Museum Technicians and Conservators,"Archivists, Curators, and Museum Technicians",Detailed Occupation,2018 SOC,Yes
Librarians and Media Collections Specialists,Librarians and Media Collections Specialists,Detailed Occupation,2018 SOC,Yes
Library Technicians,Library Technicians,Detailed Occupation,2018 SOC,Yes
Farm and Home Management Educators,Farm and Home Management Educators,Detailed Occupation,2018 SOC,Yes
Instructional Coordinators,Instructional Coordinators,Detailed Occupation,2018 SOC,Yes
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Teaching Assistants,Detailed Occupation,2018 SOC,Yes
"Teaching Assistants, Special Education",Teaching Assistants,Detailed Occupation,2018 SOC,Yes
"Teaching Assistants, Postsecondary",Teaching Assistants,Detailed Occupation,2018 SOC,Yes
"Teaching Assistants, All Other",Teaching Assistants,Detailed Occupation,2018 SOC,Yes
"Educational Instruction and Library Workers, All Other",Miscellaneous Educational Instruction and Library Workers,Detailed Occupation,2018 SOC,Yes
Art Directors,Artists and Related Workers,Detailed Occupation,2018 SOC,Yes
Craft Artists,Artists and Related Workers,Detailed Occupation,2018 SOC,Yes
"Fine Artists, Including Painters, Sculptors, and Illustrators",Artists and Related Workers,Detailed Occupation,2018 SOC,Yes
Special Effects Artists and Animators,Artists and Related Workers,Detailed Occupation,2018 SOC,Yes
"Artists and Related Workers, All Other",Artists and Related Workers,Detailed Occupation,2018 SOC,Yes
Commercial and Industrial Designers,Designers,Detailed Occupation,2018 SOC,Yes
Fashion Designers,Designers,Detailed Occupation,2018 SOC,Yes
Floral Designers,Designers,Detailed Occupation,2018 SOC,Yes
Graphic Designers,Designers,Detailed Occupation,2018 SOC,Yes
Interior Designers,Designers,Detailed Occupation,2018 SOC,Yes
Merchandise Displayers and Window Trimmers,Designers,Detailed Occupation,2018 SOC,Yes
Set and Exhibit Designers,Designers,Detailed Occupation,2018 SOC,Yes
"Designers, All Other",Designers,Detailed Occupation,2018 SOC,Yes
Actors,"Actors, Producers, and Directors",Detailed Occupation,2018 SOC,Yes
Producers and Directors,"Actors, Producers, and Directors",Detailed Occupation,2018 SOC,Yes
Athletes and Sports Competitors,"Athletes, Coaches, Umpires, and Related Workers",Detailed Occupation,2018 SOC,Yes
Coaches and Scouts,"Athletes, Coaches, Umpires, and Related Workers",Detailed Occupation,2018 SOC,Yes
"Umpires, Referees, and Other Sports Officials","Athletes, Coaches, Umpires, and Related Workers",Detailed Occupation,2018 SOC,Yes
Dancers,Dancers and Choreographers,Detailed Occupation,2018 SOC,Yes
Choreographers,Dancers and Choreographers,Detailed Occupation,2018 SOC,Yes
Music Directors and Composers,"Musicians, Singers, and Related Workers",Detailed Occupation,2018 SOC,Yes
